genreId,paid_app_count,free_app_count
AUTO_AND_VEHICLES,675,35881
FOOD_AND_DRINK,631,123741
GAME_ARCADE,2145,75968
GAME_CASUAL,1863,84637
GAME_SPORTS,417,10230
