genreId,paid_app_count,free_app_count
COMICS,162,3140
GAME_MUSIC,203,7341
GAME_ROLE_PLAYING,1036,15779
LIFESTYLE,2741,161959
MUSIC_AND_AUDIO,3146,213416
SPORTS,2415,57472
VIDEO_PLAYERS,567,16246
