genreId,paid_app_count,free_app_count
GAME_CARD,554,10894
GAME_CASINO,355,8121
LIBRARIES_AND_DEMO,134,6783
NEWS_AND_MAGAZINES,212,52314
PHOTOGRAPHY,1094,40105
SOCIAL,529,68771
