genreId,paid_app_count,free_count
COMICS,3,2696
GAME_MUSIC,14,6502
GAME_ROLE_PLAYING,215,9443
LIFESTYLE,55,155566
MUSIC_AND_AUDIO,52,208720
SPORTS,96,52804
VIDEO_PLAYERS,11,14755
