genreId,paid_app_count,free_count
ART_AND_DESIGN,13,24052
COMMUNICATION,26,76470
ENTERTAINMENT,114,195680
GAME_RACING,50,10915
GAME_WORD,38,9553
MAPS_AND_NAVIGATION,396,39214
