genreId,paid_app_count,free_count
GAME_CARD,56,7615
GAME_CASINO,26,5607
LIBRARIES_AND_DEMO,5,6578
NEWS_AND_MAGAZINES,5,47040
PHOTOGRAPHY,41,37387
SOCIAL,25,64176
